feature,importance,pillar
sic_4100,0.0,Categóricas & Estrés Contable
sic_4213,0.0,Categóricas & Estrés Contable
sic_7384,0.0,Categóricas & Estrés Contable
sic_3861,0.0,Categóricas & Estrés Contable
sic_3873,0.0,Categóricas & Estrés Contable
sic_3910,0.0,Categóricas & Estrés Contable
sic_4512,0.0,Categóricas & Estrés Contable
sic_4513,0.0,Categóricas & Estrés Contable
sic_4581,0.0,Categóricas & Estrés Contable
sic_4610,0.0,Categóricas & Estrés Contable
sic_4731,0.0,Categóricas & Estrés Contable
sic_4813,0.0,Categóricas & Estrés Contable
sic_3950,0.0,Categóricas & Estrés Contable
sic_3960,0.0,Categóricas & Estrés Contable
sic_5122,0.0,Categóricas & Estrés Contable
sic_5141,0.0,Categóricas & Estrés Contable
sic_5150,0.0,Categóricas & Estrés Contable
sic_5160,0.0,Categóricas & Estrés Contable
sic_5172,0.0,Categóricas & Estrés Contable
sic_5190,0.0,Categóricas & Estrés Contable
sic_5065,0.0,Categóricas & Estrés Contable
sic_5072,0.0,Categóricas & Estrés Contable
sic_1731,0.0,Categóricas & Estrés Contable
sic_5211,0.0,Categóricas & Estrés Contable
sic_5311,0.0,Categóricas & Estrés Contable
sic_5331,0.0,Categóricas & Estrés Contable
sic_5400,0.0,Categóricas & Estrés Contable
sic_5412,0.0,Categóricas & Estrés Contable
sic_5500,0.0,Categóricas & Estrés Contable
sic_5600,0.0,Categóricas & Estrés Contable
sic_2033,0.0,Categóricas & Estrés Contable
sic_1381,0.0,Categóricas & Estrés Contable
sic_1400,0.0,Categóricas & Estrés Contable
sic_1520,0.0,Categóricas & Estrés Contable
sic_1531,0.0,Categóricas & Estrés Contable
sic_1540,0.0,Categóricas & Estrés Contable
sic_1600,0.0,Categóricas & Estrés Contable
sic_1623,0.0,Categóricas & Estrés Contable
sic_2080,0.0,Categóricas & Estrés Contable
sic_4923,0.0,Categóricas & Estrés Contable
sic_2000,0.0,Categóricas & Estrés Contable
sic_2011,0.0,Categóricas & Estrés Contable
sic_2013,0.0,Categóricas & Estrés Contable
sic_2015,0.0,Categóricas & Estrés Contable
sic_2020,0.0,Categóricas & Estrés Contable
sic_2030,0.0,Categóricas & Estrés Contable
sector_division_Manufactura_Farma,0.0,Categóricas & Estrés Contable
sector_division_Servicios_Software_IT,0.0,Categóricas & Estrés Contable
sector_division_Sin_Clasificar,0.0,Categóricas & Estrés Contable
