,tag_NetIncomeLoss,tag_WorkingCapital,merton_distance_to_default,tag_Assets,pub_lag_days,tag_LiabilitiesAndStockholdersEquity,stock_price_close,tag_StockholdersEquity,tag_RetainedEarningsAccumulatedDeficit,tag_LiabilitiesCurrent,tag_InterestExpense,corp_archetype_prob_1,macro_inflation,macro_real_gdp,market_cap,tag_EntityCommonStockSharesOutstanding,tag_AssetsCurrent,tag_CommonStockSharesAuthorized,tag_CommonStockSharesIssued,macro_real_gdp_growth_yoy,corp_archetype_prob_0,news_sentiment_range_6m,tag_CommonStockParOrStatedValuePerShare,tag_CommonStockSharesOutstanding,tag_CommonStockValue,tag_CashAndCashEquivalentsAtCarryingValue,macro_yield_curve,macro_interest_rate,news_sentiment_std_6m,macro_unemployment_rate,market_news_sentiment_mean,corp_archetype_prob_2,tag_Revenues_combined,macro_regime_expansion_prob,tag_RevenueFromContractWithCustomerExcludingAssessedTax,news_sentiment_avg,macro_regime_crisis_prob
tag_InterestExpense,0.426854604858268,0.3827094171804264,0.3718032241507804,0.8529991334571014,-0.3332499635685691,0.859282744181939,0.21318585832798423,0.6627761620979192,0.286992911124226,0.8460212590509226,1.0,0.23531085028207988,0.07317396493736031,0.07527935864477082,0.2928124241918083,0.3404740035791225,0.7975077641977398,0.22094480776379258,0.36681191380998607,0.011376236206294693,-0.7221589415423795,0.2879205973707758,0.41056526964470563,0.32306176073167353,0.47349883725304515,0.7040046712870449,-0.07205492800118873,0.05817274643238029,0.2451051654382563,-0.05307073616839248,-0.0012881389120085694,-0.1095287849910016,0.7699465780495283,-0.03039399768228262,0.6703930005155346,-0.057527841993644205,-0.05738445613657203
corp_archetype_prob_1,0.20551885309391024,0.00044103948249720766,0.6576473223346633,0.2782221392549354,-0.03621007238522884,0.28333010802073266,0.03568778466445981,0.2446814168992619,0.16766528909806913,-0.0014011001116138488,0.23531085028207988,1.0,8.895678324359164e-05,0.0015036924906040446,0.017018867364546574,-0.13993712174884745,-0.008163676440847686,-0.125683674027261,-0.08933050924744748,-0.013471870454910074,-0.08060792563745237,0.013554493693395476,0.280559017946926,-0.09008939306357569,0.2087641979650518,0.12688355191651146,0.0005644460164046609,0.010890466666889382,0.02283463810019331,0.003359485478689125,-0.0181901315764793,-0.579741010213428,0.040479277691539195,-0.006324728632818225,-0.19468034074988216,-0.046927703221210176,-0.005504096806676024
macro_inflation,-0.049168863314817554,0.012573917928006979,-0.06659512053080048,0.09375476813695362,-0.029832544223477597,0.09759224698753265,0.14219889302724636,0.003204339467773768,-0.09834200768220447,0.06538177721088718,0.07317396493736031,8.895678324359164e-05,1.0,0.9927453007075946,0.06027955130263534,0.05573535563077109,0.07368518543050605,0.12197582767967072,0.03179065551600598,0.19219577628676848,-0.09063437648521304,0.1379573331480214,-0.11832554875231782,0.03930528294631344,-0.09593281669289225,0.11436824583545187,-0.8131611389028907,0.6290508819003623,0.04180804222060587,-0.7205130728456733,0.058672409628918724,0.0018045546523260297,0.036377722738907534,-0.134078310061811,0.04435306926664132,-0.18682336892158857,-0.7435574086593877
macro_real_gdp,-0.047317857466228866,0.012957740756134662,-0.05924683918025968,0.09348415000349193,-0.02630659590467605,0.09744914110839996,0.1414165425701055,0.0031901788390209236,-0.0984062896540199,0.06537068480366702,0.07527935864477082,0.0015036924906040446,0.9927453007075946,1.0,0.06241362439148675,0.054247398168790845,0.07381683507330705,0.12050622728602015,0.031530340239855494,0.23073887978567126,-0.09138925840561281,0.13135098197523723,-0.1174696305199004,0.03863911667579615,-0.0949448222965045,0.11401784856129839,-0.8204157076858681,0.6635522696785541,0.03319481995816789,-0.7565002658425602,0.03809406051704635,0.0024561161548204463,0.03688344442018181,-0.09147508390480082,0.04274775097721971,-0.19600082627753918,-0.7812266870764436
market_cap,0.18020480232824315,0.22732581382634012,0.2773213692971904,0.29129092235421644,0.15089457458175945,0.30044389765690793,0.6886245175345723,0.27359110674680664,0.13163335851649152,0.3048710185043385,0.2928124241918083,0.017018867364546574,0.06027955130263534,0.06241362439148675,1.0,0.22179585669149582,0.32271648620038,0.10387291318254203,0.2023741973501133,-0.03218111472674031,-0.2967130651989077,0.2652235654388644,0.1546958540500114,0.1929861141828218,0.2039427123308476,0.29267437341661595,-0.046583211281787905,0.04623867918858853,0.23770294241993833,-0.05133554105483856,0.03633199235692804,0.013065478725260222,0.3315620069854557,-0.036107171889859735,0.3268598222398818,-0.07707768951636344,-0.05299859775941043
tag_EntityCommonStockSharesOutstanding,0.11863068754097113,0.19871666127995166,-0.05007006382227557,0.35861751115766216,-0.17695438974258137,0.3610883658828669,0.14200722908191948,0.31891563284789193,0.014709574940186787,0.41180427000074693,0.3404740035791225,-0.13993712174884745,0.05573535563077109,0.054247398168790845,0.22179585669149582,1.0,0.3796004482056842,0.7117890579645176,0.9310577216693354,0.007411399477941318,-0.3453068027054362,0.2054468141506782,0.0002649137389541201,0.9409574122581373,0.3552771047095905,0.39977873312787116,-0.043395632848718176,0.03969162859521819,0.15856724016197613,-0.03847056930668436,0.020400260534309902,0.002530005523479769,0.3534533828380418,-0.024466466520722346,0.4024791695676933,-0.013092752600275643,-0.03962374125975971
tag_AssetsCurrent,0.35437429649731317,0.683044596378604,0.260425263991661,0.9444376334868394,-0.5039195895511994,0.9498758839510069,0.29899548566928835,0.7914482086471336,0.27773083713711505,0.938750779407916,0.7975077641977398,-0.008163676440847686,0.07368518543050605,0.07381683507330705,0.32271648620038,0.3796004482056842,1.0,0.18933656817586933,0.4148192538990106,0.0038724111049003264,-0.8924953234339328,0.39816805652238463,0.4016611774209901,0.3648048543138783,0.47738574890557395,0.9288699889968074,-0.05919167774496741,0.06938909692437902,0.34971996224464424,-0.046358202795021286,0.009148180566412341,0.30998630638883107,0.8908319956801827,-0.058979883974621526,0.8520449039333456,-0.09567521983871245,-0.05826589704068786
tag_CommonStockSharesAuthorized,0.018772133708110574,0.0646287653833818,-0.08970166236401783,0.1798980019714269,-0.06446217168242174,0.1778531733923773,0.047968932679509815,0.13714181559728206,-0.07079504351035915,0.2256322194621445,0.22094480776379258,-0.125683674027261,0.12197582767967072,0.12050622728602015,0.10387291318254203,0.7117890579645176,0.18933656817586933,1.0,0.6853317039700276,0.019800445050260983,-0.17809609296656648,0.09304450845424632,-0.15265683422425075,0.6806089185357986,0.09104404835000998,0.24577015784388503,-0.09572746391596863,0.08771202665660952,0.05711850757342479,-0.0838204498821462,0.022475257771458614,-0.08397483443815339,0.2079030828293343,-0.04654632053851413,0.30302403653074017,0.006957629366555393,-0.08576583586423986
tag_CommonStockSharesIssued,0.14360187485762366,0.2314902155418337,-0.014397584842505463,0.3763598223163313,-0.20351763184763727,0.37763588783787205,0.13293028768267426,0.357224973021455,0.05238006181174155,0.4496405334103776,0.36681191380998607,-0.08933050924744748,0.03179065551600598,0.031530340239855494,0.2023741973501133,0.9310577216693354,0.4148192538990106,0.6853317039700276,1.0,-0.0011276673550661342,-0.3802822656530516,0.2146113088052928,0.05265852682539642,0.9627024693578045,0.3978889112019398,0.4286691662924186,-0.028384011338891818,0.03779680846849088,0.1589813252192731,-0.025064173414653463,0.016529545499001676,0.005976497859535887,0.38429373105338316,-0.028694522312727302,0.45027939134117595,-0.014767241159191164,-0.02826789317214825
macro_real_gdp_growth_yoy,-0.016432355442756796,-0.001546808474973674,0.044036611684659194,0.009199410228251761,-0.02482172952741481,0.009445791404167975,0.014007695997183673,-0.013624342240448908,-0.021784779010064433,-0.0013889653019166167,0.011376236206294693,-0.013471870454910074,0.19219577628676848,0.23073887978567126,-0.03218111472674031,0.007411399477941318,0.0038724111049003264,0.019800445050260983,-0.0011276673550661342,1.0,-0.008782595307267384,-0.06609372886833323,-0.04251265328935686,0.00037910237814790863,-0.036306433164066024,0.0107216780625177,-0.1200615530804156,0.11313424650778472,-0.11524632838145338,-0.32300938023011416,0.1962372509682316,0.01418752402772538,-0.008036135646523558,0.2374867198138465,-0.019023378104182826,0.09996353396152509,-0.26074704379357005
